id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
248,Damian,Jones,C,6-10,245,30,Vanderbilt,USA,2016.0,1.0,30.0,6,CLE,Cleveland,Cavaliers,East,Central
249,Tyus,Jones,G,6-0,196,2,Duke,USA,2015.0,1.0,24.0,22,ORL,Orlando,Magic,East,Southeast
250,DeAndre,Jordan,C,6-11,265,9,Texas A&M,USA,2008.0,2.0,35.0,19,NOP,New Orleans,Pelicans,West,Southwest
251,Cory,Joseph,G,6-2,200,10,Texas,Canada,2011.0,1.0,29.0,22,ORL,Orlando,Magic,East,Southeast
252,Frank,Kaminsky,F-C,7-0,240,33,Wisconsin,USA,2015.0,1.0,9.0,24,PHX,Phoenix,Suns,West,Pacific
253,Enes,Kanter,C,6-10,250,11,Fenerbahce,Turkey,2011.0,1.0,3.0,2,BOS,Boston,Celtics,East,Atlantic
254,Luke,Kennard,G,6-5,206,3,Duke,USA,2017.0,1.0,12.0,1,ATL,Atlanta,Hawks,East,Southeast
255,Michael,Kidd-Gilchrist,F,6-6,232,9,Kentucky,USA,2012.0,1.0,2.0,4,CHA,Charlotte,Hornets,East,Southeast
256,George,King,F,6-6,220,8,University of Colorado Boulder,USA,2018.0,2.0,59.0,7,DAL,Dallas,Mavericks,West,Southwest
257,Maxi,Kleber,F,6-10,240,14,Bayern Munich,Germany,,,,14,LAL,Los Angeles,Lakers,West,Pacific
258,Brandon,Knight,G,6-2,182,20,Kentucky,USA,2011.0,1.0,8.0,7,DAL,Dallas,Mavericks,West,Southwest
259,Kevin,Knox,F,6-8,215,31,Kentucky,USA,2018.0,1.0,9.0,10,GSW,Golden State,Warriors,West,Pacific
260,Furkan,Korkmaz,G-F,6-7,202,30,Anadolu Efes,Turkey,2016.0,1.0,26.0,23,PHI,Philadelphia,76ers,East,Atlantic
261,Luke,Kornet,F-C,7-1,250,7,Vanderbilt,USA,,,,27,SAS,San Antonio,Spurs,West,Southwest
262,Kyle,Korver,G-F,6-7,212,26,Creighton,USA,2003.0,2.0,51.0,23,PHI,Philadelphia,76ers,East,Atlantic
263,Kosta,Koufos,C,7-0,245,41,Ohio State,USA,2008.0,1.0,23.0,26,SAC,Sacramento,Kings,West,Pacific
264,Rodions,Kurucs,F,6-9,228,00,FC Barcelona,Latvia,2018.0,2.0,40.0,3,BKN,Brooklyn,Nets,East,Atlantic
265,Kyle,Kuzma,F,6-8,221,18,Utah,USA,2017.0,1.0,27.0,17,MIL,Milwaukee,Bucks,East,Central
